"episode","Provider","hrr","maadvantage","avgagehrr","avghcchrr","pctmalehrr","pctblackhrr","pcthispanichrr","pctmdcaidhrr","pctbenesusip","pctbenesusnf","pctbenesuhh","pctbenesuop","pctbenesuasc","Acute Care Hospital Beds per 1,000 Residents (2012)","Primary Care Physicians per 100,000 Residents (2011)","Total Specialists per 100,000 Residents (2011)","Rank for Variable dshpct","Rank for Variable cmi","Rank for Variable mdadjadmit","qstarrating","urbanlocation","joinnetwork","jchaoaccredited","qieffort","reform","mdaffiliation","ownershipstatus","hospitalbedsize"
29360,500025,439,34.47,75,0.87,44.8,2.54,2.3,12.42,13.91,4.51,6.21,64.85,13.58,1.279173764226,90.758253943,144.71160379,1,3,3,3,1,1,1,1,0,3,2,2
19822,500026,439,34.47,75,0.87,44.8,2.54,2.3,12.42,13.91,4.51,6.21,64.85,13.58,1.279173764226,90.758253943,144.71160379,2,2,2,2,1,1,1,1,0,1,2,2
20307,500027,439,34.47,75,0.87,44.8,2.54,2.3,12.42,13.91,4.51,6.21,64.85,13.58,1.279173764226,90.758253943,144.71160379,2,3,3,3,1,1,1,1,0,3,2,3
18651,500030,439,34.47,75,0.87,44.8,2.54,2.3,12.42,13.91,4.51,6.21,64.85,13.58,1.279173764226,90.758253943,144.71160379,2,3,3,4,1,1,0,1,,1,2,2
17936,500031,439,34.47,75,0.87,44.8,2.54,2.3,12.42,13.91,4.51,6.21,64.85,13.58,1.279173764226,90.758253943,144.71160379,2,1,3,2,0,,1,1,,1,2,1
17321,500033,440,23.83,75,0.87,46.72,0.43,3.03,10.35,14.67,4.35,6.18,65.37,12.07,1.692657294057,76.920951964,116.10622186,3,1,2,3,0,0,0,1,0,1,1,1
18766,500036,442,17.28,75,0.88,45.74,0.6,11.22,14.61,15.65,4.3,5.3,73.16,14.02,1.607697700136,77.402116346,106.30676456,3,2,1,2,1,0,1,0,0,2,2,2
14289,500037,442,17.28,75,0.88,45.74,0.6,11.22,14.61,15.65,4.3,5.3,73.16,14.02,1.607697700136,77.402116346,106.30676456,3,0,2,3,1,1,1,0,,1,3,1
19641,500039,439,34.47,75,0.87,44.8,2.54,2.3,12.42,13.91,4.51,6.21,64.85,13.58,1.279173764226,90.758253943,144.71160379,1,3,3,2,1,1,1,1,0,1,2,2
16400,500041,344,56.96,75,0.88,46.6,1.27,2.89,13.24,14.37,3.87,6.64,66.94,9.16,1.473453150378,90.575727902,143.0406616,2,1,2,3,1,1,1,1,,1,2,2
20899,500044,440,23.83,75,0.87,46.72,0.43,3.03,10.35,14.67,4.35,6.18,65.37,12.07,1.692657294057,76.920951964,116.10622186,3,3,1,2,1,0,1,0,0,3,2,2
17303,500049,440,23.83,75,0.87,46.72,0.43,3.03,10.35,14.67,4.35,6.18,65.37,12.07,1.692657294057,76.920951964,116.10622186,2,2,3,3,0,1,1,1,,1,2,1
18709,500050,344,56.96,75,0.88,46.6,1.27,2.89,13.24,14.37,3.87,6.64,66.94,9.16,1.473453150378,90.575727902,143.0406616,2,2,3,2,1,,0,1,,3,2,2
18702,500051,439,34.47,75,0.87,44.8,2.54,2.3,12.42,13.91,4.51,6.21,64.85,13.58,1.279173764226,90.758253943,144.71160379,0,2,3,3,1,1,1,1,0,2,2,2
